"Variable","P_value","Eta_sq","Lowest_product","Lowest_mean","Highest_product","Highest_mean"
"MFirm",2.42950403265375e-48,0.655025592381601,"08 - C-CH",4.18125,"04 - D-CH",10.10625
"HResistance",8.73654963568261e-45,0.629120167467129,"08 - C-CH",4.70625,"04 - D-CH",9.375
"EShiny",1.29783374335736e-38,0.579296041681511,"01 - 33%'",4.8375,"03 - 16%'",10.69375
"MResistance",4.67777939820373e-33,0.528489981066847,"08 - C-CH",4.3125,"04 - D-CH",9.18125
"MChalky",4.5602512567909e-25,0.443805539047231,"08 - C-CH",3.0875,"05 - A-Pr",7.8375
"EYellow",8.60271745265888e-23,0.416785599489181,"06 - B-Pr",2.50625,"01 - 33%'",5.86875
"MMeltdown",1.5223724628493e-21,0.401357880817919,"04 - D-CH",5.3375,"08 - C-CH",9.65625
"EWhite",5.92432088839113e-17,0.340518970213591,"01 - 33%'",7.475,"04 - D-CH",10.40625
"MButter",3.19739793914887e-16,0.330167533411515,"06 - B-Pr",5.64375,"08 - C-CH",9.4375
"MSalt",3.61077733525949e-11,0.253012636340221,"06 - B-Pr",5.25625,"08 - C-CH",8.19375
"MFat",6.51679985024516e-08,0.196813910741199,"06 - B-Pr",6.83125,"04 - D-CH",9.55625
"MSour",1.11979201226121e-07,0.192505589416943,"08 - C-CH",6.6375,"06 - B-Pr",9.7
"MCream",6.70104367690512e-06,0.158562069500317,"06 - B-Pr",6.375,"01 - 33%'",8.41875
"MCreaminess",2.93437768593112e-05,0.145606491858979,"05 - A-Pr",6.8,"04 - D-CH",9.09375
"MGrainy",0.000195813274524212,0.12825401270893,"04 - D-CH",2.2,"01 - 33%'",3.6875
"EGrey",0.0102151546338555,0.0883938164172492,"08 - C-CH",2.24375,"05 - A-Pr",3.30625
"NButter",0.012154357679009,0.0864698628250246,"06 - B-Pr",7.93125,"04 - D-CH",9.53125
"EGrainy",0.0150669294965077,0.0840632421658093,"04 - D-CH",3.43125,"09 - A-Pr",5.2875
"MSweet",0.164510375525626,0.0539901358182618,"09 - A-Pr",2.70625,"01 - 33%'",3.925
"NAcidic",0.273204737196106,0.0461718546494349,"06 - B-Pr",7.79375,"05 - A-Pr",8.85
"NCream",0.276952809802753,0.0459480466309421,"06 - B-Pr",7.1,"10 - P+Ar",8.1875
"NOldmilk",0.65569840571838,0.0287942004939557,"04 - D-CH",2.44375,"05 - A-Pr",3.2125
"EGreen",0.963412197352675,0.0128601893636234,"03 - 16%'",1.61875,"10 - P+Ar",1.9125
