"Variable","Product_p","Panellist_p","Replicate_p","Session_p","Servingorder_p","Product_eta"
"NCream",0.0665524052464025,1.09981506272923e-17,0.282829262758815,0.630330424679649,0.524572463246443,0.0459480466309421
"NAcidic",0.0555288126572996,1.45340999399777e-18,0.0251606711303158,0.582775738211113,0.681813784587236,0.0461718546494349
"NButter",3.84489479124587e-05,4.18861099481388e-26,0.488084414615598,0.618627980706354,0.377258502387947,0.0864698628250246
"NOldmilk",0.00330081002184601,5.71472109913275e-61,0.861828539866641,0.733675117235043,0.0477519882806423,0.0287942004939557
"EWhite",1.0361728476603e-26,4.86084529908632e-24,0.517414829247189,0.18595194300252,0.429858751568441,0.340518970213591
"EGrey",9.09202254001311e-05,8.64588688459328e-21,0.273970882761074,0.00817096101881548,0.674441484665634,0.0883938164172492
"EYellow",7.6784768552762e-37,1.94422952533239e-28,0.253878876614638,0.263380767593428,0.775042229846484,0.41678559948918
"EGreen",0.339002377034754,3.02404025705537e-56,0.245681671009188,0.253349582856724,0.497679428988661,0.0128601893636234
"HResistance",1.38711540062845e-53,1.92259493486221e-13,0.211073041419921,0.26343499561273,0.0795557196966246,0.629120167467129
"EGrainy",1.28946331499958e-05,1.42919653431435e-30,0.0616097743809945,0.750427833924312,0.222824323123701,0.0840632421658093
"EShiny",5.03968530896084e-54,1.13472327786431e-24,0.730401384969579,0.351799006429579,0.372864694948882,0.579296041681511
"MFirm",1.91666039624237e-58,2.15480020626595e-15,0.138429862330939,0.791346849259706,0.12375990124635,0.655025592381601
"MMeltdown",5.94767330268068e-33,2.45683224464167e-24,0.123287778216477,0.987889505172411,0.274605844201896,0.401357880817919
"MResistance",2.49729138793878e-34,0.0959144382046867,0.00170392325693482,0.582806772978628,0.102023639289716,0.528489981066847
"MCreaminess",7.29460710426859e-07,8.71058581210176e-11,0.324535277666477,0.70946986232438,0.28190339225864,0.145606491858979
"MGrainy",2.92635667338806e-08,3.37497262605422e-25,0.170766977099448,0.598515616906264,0.483231767187593,0.12825401270893
"MChalky",8.16366018896839e-42,1.56203524461012e-31,0.656060268401684,0.0768423204266911,0.811436457144016,0.443805539047231
"MCream",5.99932428088597e-10,2.47620168662486e-22,0.871298447702177,0.784144177460623,0.455244798882657,0.158562069500317
"MFat",1.82352614758764e-15,6.91094345951132e-30,0.0551281717908339,0.462265747771357,0.623976214805999,0.196813910741199
"MButter",3.07840953775016e-32,8.82956536277576e-38,0.415180922561061,0.722784956889754,0.928645861459231,0.330167533411516
"MSalt",9.77035595956281e-21,1.21680947935447e-29,0.496511077912505,0.872171678128468,0.0562592730908468,0.253012636340221
"MSour",9.03668311912571e-15,1.8231442809736e-29,0.786424554798313,0.540816623542632,0.495642300844162,0.192505589416942
"MSweet",0.000329277847505609,1.30838962784933e-41,0.552062575675942,0.731934894143646,0.429656798919377,0.0539901358182619
