"Variable","Correlation","P_value","Direction"
"MFat",0.384007987158802,7.47966380593261e-10,"positiva"
"MChalky",-0.364907481698724,5.68617961094037e-09,"negativa"
"MButter",0.261144465869282,4.20698747313494e-05,"positiva"
"NOldmilk",-0.220148555976279,0.000592643716104101,"negativa"
"MSweet",0.218957276401063,0.000635702351001099,"positiva"
"EGrainy",-0.215863308789861,0.000761401720356479,"negativa"
"MGrainy",-0.214312237163763,0.000832704690305164,"negativa"
"MSalt",0.213826397985301,0.000856274036232211,"positiva"
"MSour",-0.206327744785061,0.00130724497165742,"negativa"
"MCream",0.202864476336701,0.00158165063413347,"positiva"
"MResistance",0.199149954515677,0.00193374456670265,"positiva"
"MMeltdown",-0.16487563946564,0.0105142885307305,"negativa"
"EYellow",0.141128996643271,0.0288230379329652,"positiva"
"EGrey",-0.128802161489102,0.0462300015889332,"negativa"
"EGreen",-0.127317296738376,0.0488248330842263,"negativa"
"EWhite",-0.114892666263559,0.0756498389885967,"negativa"
"NCream",0.0941989034990664,0.145685508068054,"positiva"
"NAcidic",0.0645697746807579,0.319187923399631,"positiva"
"HResistance",0.0534050171087477,0.41015809261404,"positiva"
"NButter",0.0420371930650772,0.516904785249469,"positiva"
"MFirm",0.0315837602733516,0.62635721578296,"positiva"
"EShiny",-0.0284872661500674,0.660583368603101,"negativa"
