"Productnumber","Productname","Productlabel","MCreaminess","MFat","MChalky","MMeltdown","MFirm","MSour"
4,"D-CH","04 - D-CH",9.09375,9.55625,3.45625,5.3375,10.10625,6.93125
8,"C-CH","08 - C-CH",8.4625,8.9875,3.0875,9.65625,4.18125,6.6375
1,"33%'","01 - 33%'",8.3,8.8625,4.025,7.70625,8.31875,6.73125
2,"24%'","02 - 24%'",8.25625,8.88125,4.1625,5.9625,9.20625,7.35
3,"16%'","03 - 16%'",7.8625,8.24375,3.95,9.13125,5.125,7.6375
6,"B-Pr","06 - B-Pr",7.78125,6.83125,5.29375,7.88125,6.325,9.7
10,"P+Ar","10 - P+Ar",7.30625,8.96875,4.08125,9.51875,5.28125,7.35625
7,"P   ","07 - P   ",7.11875,8.73125,3.8625,9.23125,5.54375,7.325
9,"A-Pr","09 - A-Pr",6.9125,7.25625,7.66875,6.05625,8.85,8.125
5,"A-Pr","05 - A-Pr",6.8,7.00625,7.8375,6.68125,8.64375,7.975
