"Variable","Importance"
"MChalky",155.993499428527
"MResistance",110.278553628474
"NOldmilk",94.0147511413656
"MFat",81.4838287587537
"MGrainy",73.6431754853787
"EGrainy",60.1428982300541
"MMeltdown",58.6082589608981
"MSalt",43.2942662481134
"EGreen",42.325047224675
"MButter",39.9365997816637
"EGrey",34.3070089281155
"MCream",34.2312254243164
"NButter",25.0571864234824
"EYellow",24.1307499543679
"NAcidic",17.3561587471663
"MFirm",17.2926702166881
"NCream",16.2089094557274
"MSweet",13.4241443626631
"EShiny",9.66147823604965
"HResistance",8.12114502164501
"MSour",3.35603609066578
"EWhite",2.87201419698314
