"Variable","PC1","PC2","PC3","PC4","PC5"
"NCream",-0.234950198547679,-0.147947604881552,0.0863806301650717,0.199785086501263,0.310098305817541
"NAcidic",0.151674437867232,-0.0380453824245075,-0.172245963272592,0.521738686259896,-0.284230458868258
"NButter",-0.174148894668861,-0.101028736953101,0.19282798063797,0.477809136035925,0.257223874061077
"NOldmilk",0.265174380515678,0.102585313472791,-0.159695249969747,-0.0873253595999087,0.0198118821884017
"EWhite",0.233245832347761,-0.0549403772813604,0.32227945643096,-0.0909462844483211,0.193124328129083
"EGrey",0.271934472327498,-0.0546538277660695,-0.0625409614033254,-0.0632680264493944,0.0209963975183206
"EYellow",-0.247910902097439,-0.00935565639303205,-0.289341454109749,0.0277465478807421,-0.24175159548584
"EGreen",-0.0844668453660418,-0.0882223738772343,-0.388511746699744,0.0656345774333773,0.579209957136901
"HResistance",0.0662837999806266,-0.426586763545949,-0.089972423583432,-0.106689788867902,-0.0329194570149051
"EGrainy",0.198465819905019,-0.0894134027186673,-0.394217922417543,0.0700207663714713,-0.178530675616969
"EShiny",-0.0495022230808019,0.388171805435035,0.0947588131277231,-0.0295855372302634,0.0629466385270278
"MFirm",0.144415707549231,-0.393957134524784,-0.0515394122163763,-0.0262165320554579,-0.00428183438387058
"MMeltdown",-0.176897046306862,0.360017812076024,-0.0591934188512379,-0.00676353102291769,0.0711376687064725
"MResistance",0.176297508998066,-0.359792188388753,0.0789326488923069,-0.00279569453182574,-0.0356497360286746
"MCreaminess",-0.156409500072259,-0.236767541526749,0.292548527602046,-0.186777563754483,-0.297563101811669
"MGrainy",-0.0737515551234624,0.0454984846652176,-0.449188007295967,-0.304396335204685,0.0852514198649291
"MChalky",0.272090647084648,0.0182140108469964,-0.190672929127405,0.217069966255366,0.0829654581546376
"MCream",-0.266205794219886,-0.145055548675458,-0.103776859369819,-0.0982498939069349,0.031305481852079
"MFat",-0.266112335665298,-0.184564771333498,0.0719989582487334,0.00423375767279962,0.0501974153645714
"MButter",-0.287735181916019,-0.0992952747260161,-0.0728067585446915,0.0853879149383436,0.0268121523742266
"MSalt",-0.247183573105919,0.127553787422269,-0.0765901763590022,0.123430492583476,-0.401977192406592
"MSour",0.237295921100847,0.178609385851576,0.120943206348939,-0.213070351213817,0.111716629071354
"MSweet",-0.221181196442665,-0.124686120706755,-0.0861299307746168,-0.405506181909351,0.0240991474010652
