"Productnumber","Productname","Productlabel","PC1","PC2","PC3","PC4","PC5"
1,"33%'","01 - 33%'",-2.86336185880757,-2.24698922021398,-2.77181807129806,-1.03706097607678,-0.546859333002425
2,"24%'","02 - 24%'",0.734868199015635,-1.89570430684658,-0.619727375145631,-1.05894093464451,-1.07579029248406
3,"16%'","03 - 16%'",-0.847157825949493,2.30499822071726,0.626538898052389,-1.73070635281309,-0.1787973319705
4,"D-CH","04 - D-CH",-1.07445033162285,-4.33299813945165,2.93045803507886,0.119816830990915,0.709181950418294
5,"A-Pr","05 - A-Pr",4.75440381838778,0.0119299637493572,-1.2384103822843,0.844516226780042,0.0436695828343466
6,"B-Pr","06 - B-Pr",3.78567118757002,1.98556270693385,1.62430003374296,-1.56968312475328,-0.0831655536152579
7,"P   ","07 - P   ",-2.05372249375453,1.80432296200464,-0.233879387997532,0.0581786709615851,0.233749287556331
8,"C-CH","08 - C-CH",-4.07821060329471,1.65049935284565,1.06129380364927,2.08184921416033,-1.70130770121885
9,"A-Pr","09 - A-Pr",4.41256228714152,-0.402350255338609,-0.56175535092975,1.85968135104537,0.0954842794377521
10,"P+Ar","10 - P+Ar",-2.77060237868578,1.12072871560007,-0.817000202868214,0.432349094349404,2.50383511204437
