"Productnumber","Productname","Productlabel","NCream","NAcidic","NButter","NOldmilk","EWhite","EGrey","EYellow","EGreen","HResistance","EGrainy","EShiny","MFirm","MMeltdown","MResistance","MCreaminess","MGrainy","MChalky","MCream","MFat","MButter","MSalt","MSour","MSweet"
1,"33%'","01 - 33%'",7.75,8.05,8.41875,2.74375,7.475,2.36875,5.86875,1.84375,8.78125,4.8125,4.8375,8.31875,7.70625,6.45625,8.3,3.6875,4.025,8.41875,8.8625,9.275,6.75625,6.73125,3.925
2,"24%'","02 - 24%'",7.39375,8.1625,8.29375,2.85,9.425,3.1625,3.74375,1.65,8.8375,4.9625,8.175,9.20625,5.9625,8.19375,8.25625,3.625,4.1625,7.85,8.88125,8.5125,6.3,7.35,3.25
3,"16%'","03 - 16%'",7.4,7.95,8.16875,2.925,9.78125,2.7125,3.1875,1.61875,4.71875,3.50625,10.69375,5.125,9.13125,5.10625,7.8625,3.6625,3.95,7.88125,8.24375,8.0625,6.54375,7.6375,3.5625
4,"D-CH","04 - D-CH",8.09375,7.98125,9.53125,2.44375,10.40625,2.6375,2.84375,1.675,9.375,3.43125,5.35625,10.10625,5.3375,9.18125,9.09375,2.2,3.45625,7.96875,9.55625,8.86875,5.39375,6.93125,3.4875
5,"A-Pr","05 - A-Pr",7.2625,8.85,8.11875,3.2125,10,3.30625,2.63125,1.71875,7.56875,4.95625,7.1375,8.64375,6.68125,7.475,6.8,3.09375,7.8375,6.4875,7.00625,6.4875,5.26875,7.975,2.91875
6,"B-Pr","06 - B-Pr",7.1,7.79375,7.93125,3.2,10.20625,2.8875,2.50625,1.61875,6.05,4.4375,8.46875,6.325,7.88125,6.38125,7.78125,2.25,5.29375,6.375,6.83125,5.64375,5.25625,9.7,3.08125
7,"P   ","07 - P   ",7.4,7.9875,8.99375,2.4625,8.73125,2.50625,4.34375,1.6875,5.34375,3.925,10.1125,5.54375,9.23125,4.8875,7.11875,3.575,3.8625,7.825,8.73125,9.05,6.4625,7.325,3.24375
8,"C-CH","08 - C-CH",7.95,8.45,9.41875,2.50625,7.85625,2.24375,5.10625,1.61875,4.70625,3.7,9.2875,4.18125,9.65625,4.3125,8.4625,2.31875,3.0875,7.7625,8.9875,9.4375,8.19375,6.6375,3.20625
9,"A-Pr","09 - A-Pr",7.2375,8.84375,8.91875,3.2,10.1375,3.03125,2.59375,1.7,6.98125,5.2875,7.4125,8.85,6.05625,8.3125,6.9125,2.70625,7.66875,7.0375,7.25625,6.78125,5.30625,8.125,2.70625
10,"P+Ar","10 - P+Ar",8.1875,7.8375,9.3125,2.76875,8.63125,2.56875,4.0625,1.9125,5.6375,3.925,9.60625,5.28125,9.51875,4.65625,7.30625,3.4,4.08125,7.9875,8.96875,9.29375,6.3,7.35625,3.38125
