threshold,accuracy_pct,sensitivity_pct,specificity_pct,precision_pct,recall_pct,f1_pct,balanced_accuracy_pct,roc_auc_pct,pr_auc_pct,true_positive,true_negative,false_positive,false_negative,selection_floor_pct,candidate_id,family,strategy,config_type,members,drug,selected_model
0.7400000000000001,65.06,65.11,63.64,97.78,65.11,78.17,64.38,71.89,98.19,881,35,20,472,63.64,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1,Alcohol,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1
0.41,71.8,71.46,72,59.55,71.46,64.96,71.73,78.14,62.5,368,643,250,147,71.46,ensemble__ranger_glmnet_c50,ensemble,blended,ensemble,ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__none__alpha=0 | c50__none__trials=10,Amphet,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__none__alpha=0 | c50__none__trials=10
0.37,68.68,67.83,68.89,35.73,67.83,46.8,68.36,74.38,44.15,194,773,349,92,67.83,ensemble__ranger_glmnet_c50,ensemble,blended,ensemble,ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1 | c50__smote__trials=20,Amyl,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1 | c50__smote__trials=20
0.41,69.53,69.26,69.72,61.5,69.26,65.15,69.49,74.8,64.91,401,578,251,178,69.26,glmnet__none__alpha=0,glmnet,none,single_model,glmnet__none__alpha=0,Benzos,glmnet__none__alpha=0
0.93,76.28,76.5,64,99.16,76.5,86.37,70.25,73.2,99.2,1058,16,9,325,64,ranger__smote__num_trees=500_mtry=3_min_node_size=5,ranger,smote,single_model,ranger__smote__num_trees=500_mtry=3_min_node_size=5,Caff,ranger__smote__num_trees=500_mtry=3_min_node_size=5
0.44,79.69,79.89,79.27,88.72,79.89,84.08,79.58,87.92,93.6,755,367,96,190,79.27,glmnet__weights__alpha=0.5,glmnet,weights,single_model,glmnet__weights__alpha=0.5,Cannabis,glmnet__weights__alpha=0.5
0.8200000000000001,64.91,64.93,64,99.01,64.93,78.43,64.47,67.66,99,898,16,9,485,64,ensemble__ranger_glmnet_c50,ensemble,blended,ensemble,ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1 | c50__adasyn__trials=20,Choc,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1 | c50__adasyn__trials=20
0.43,68.39,68.52,68.32,55.96,68.52,61.6,68.42,74.4,56.55,357,606,281,164,68.32,ranger__none__num_trees=500_mtry=3_min_node_size=5,ranger,none,single_model,ranger__none__num_trees=500_mtry=3_min_node_size=5,Coke,ranger__none__num_trees=500_mtry=3_min_node_size=5
0.32,70.81,70.14,70.89,21.54,70.14,32.95,70.51,77.59,23.32,101,896,368,43,70.14,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__weights__num_trees=500_mtry=5_min_node_size=5 | glmnet__smote__alpha=1,Crack,Ensemble: ranger__weights__num_trees=500_mtry=5_min_node_size=5 | glmnet__smote__alpha=1
0.49,73.93,74.65,73.44,65.79,74.65,69.94,74.05,80.66,67.38,427,614,222,145,73.44,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1,Ecstasy,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1
0.56,75,75.6,74.92,29,75.6,41.91,75.26,81.44,35.19,127,929,311,41,74.92,glmnet__adasyn__alpha=1,glmnet,adasyn,single_model,glmnet__adasyn__alpha=1,Heroin,glmnet__adasyn__alpha=1
0.39,67.76,68.25,67.64,33.75,68.25,45.17,67.94,72.93,35.17,187,767,367,87,67.64,ensemble__ranger_glmnet_c50,ensemble,blended,ensemble,ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1 | c50__smote__trials=20,Ketamine,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1 | c50__smote__trials=20
0.47,78.27,78.12,78.37,71.43,78.12,74.63,78.25,86.14,79.8,450,652,180,126,78.12,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5,Legalh,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5
0.36,77.77,77.91,77.71,60.58,77.91,68.16,77.81,84.95,69.55,335,760,218,95,77.71,ranger__none__num_trees=500_mtry=3_min_node_size=5,ranger,none,single_model,ranger__none__num_trees=500_mtry=3_min_node_size=5,LSD,ranger__none__num_trees=500_mtry=3_min_node_size=5
0.44,75.43,75.17,75.5,45.58,75.17,56.75,75.33,81.86,51.34,227,835,271,75,75.17,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1,Meth,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1
0.48,76.49,76.6,76.42,66.23,76.6,71.04,76.51,83.74,72.82,406,671,207,124,76.42,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5,Mushrooms,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5
0.56,70.74,71.23,69.77,82.32,71.23,76.38,70.5,75.79,85.09,666,330,143,269,69.77,ensemble__ranger_glmnet,ensemble,blended,ensemble,ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1,Nicotine,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1
0.16,76.14,76.47,76.09,30.52,76.47,43.62,76.28,82.67,34.5,130,942,296,40,76.09,glmnet__none__alpha=0,glmnet,none,single_model,glmnet__none__alpha=0,VSA,glmnet__none__alpha=0
