drug,train_non_user,train_user,test_non_user,test_user,train_user_prevalence_pct
Alcohol,55,1353,12,457,96.09
Amphet,893,515,310,159,36.58
Amyl,1122,286,387,82,20.31
Benzos,829,579,286,183,41.12
Caff,25,1383,12,457,98.22
Cannabis,463,945,157,312,67.12
Choc,25,1383,9,460,98.22
Coke,887,521,309,160,37
Crack,1264,144,425,44,10.23
Ecstasy,836,572,296,173,40.62
Heroin,1240,168,428,41,11.93
Ketamine,1134,274,397,72,19.46
Legalh,832,576,289,180,40.91
LSD,978,430,348,121,30.54
Meth,1106,302,357,112,21.45
Mushrooms,878,530,312,157,37.64
Nicotine,473,935,148,321,66.41
VSA,1238,170,413,56,12.07
