drug,selected_model,selected_threshold,article_method,our_accuracy_pct,our_sensitivity_pct,our_specificity_pct,our_precision_pct,our_recall_pct,our_f1_pct,our_balanced_accuracy_pct,our_roc_auc_pct,our_pr_auc_pct,baseline_accuracy_pct,baseline_sensitivity_pct,baseline_specificity_pct,baseline_f1_pct,delta_accuracy_pct,delta_sensitivity_pct,delta_specificity_pct,delta_f1_pct,wins_against_article,article_accuracy_pct,article_sensitivity_pct,article_specificity_pct,article_f1_pct
Alcohol,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1,0.7400000000000001,RF Padrão,65.46,64.99,83.33,99.33,64.99,78.57,74.16,81.22,99.42,97.23,99.78,0,98.59,-31.12,-35.01,83.33,-19.69,1,96.58,100,0,98.26
Amphet,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__none__alpha=0 | c50__none__trials=10,0.41,RF Padrão,73.56,73.58,73.55,58.79,73.58,65.36,73.57,79.76,59.93,71.64,53.46,80.97,56.11,1.98,17.03,-6.45,6.54,3,71.58,56.55,80,58.82
Amyl,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1 | c50__smote__trials=20,0.37,RF + SMOTE,69.94,70.73,69.77,33.14,70.73,45.14,70.25,75.76,39.75,81.88,30.49,92.76,37.04,-11.51,38.12,-23.6,4.32,2,81.45,32.61,93.37,40.82
Benzos,glmnet__none__alpha=0,0.41,RF Padrão,70.36,68.85,71.33,60.58,68.85,64.45,70.09,76.8,67.3,69.51,50.82,81.47,56.53,1.13,16.22,-9.25,6.31,3,69.23,52.63,80.58,58.14
Caff,ranger__smote__num_trees=500_mtry=3_min_node_size=5,0.93,RF Padrão,77.83,78.77,41.67,98.09,78.77,87.38,60.22,72.57,99.07,97.44,100,0,98.7,-20.25,-21.23,41.67,-11.65,1,98.08,100,0,99.03
Cannabis,glmnet__weights__alpha=0.5,0.44,RF Padrão,79.53,76.6,85.35,91.22,76.6,83.28,80.98,87.81,93.1,80.17,85.58,69.43,85.17,-2.35,-12.25,17.61,-3.5,1,81.88,88.85,67.74,86.78
Choc,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__adasyn__alpha=1 | c50__adasyn__trials=20,0.8200000000000001,RF Padrão,61.41,61.3,66.67,98.95,61.3,75.7,63.99,70.51,98.95,98.08,100,0,99.03,-36.88,-38.7,66.67,-23.44,1,98.29,100,0,99.14
Coke,ranger__none__num_trees=500_mtry=3_min_node_size=5,0.43,RF Padrão,71.64,68.12,73.46,57.07,68.12,62.11,70.79,75.57,55.71,70.36,46.88,82.52,51.9,2.56,24.59,-10.15,11.6,3,69.08,43.53,83.61,50.51
Crack,Ensemble: ranger__weights__num_trees=500_mtry=5_min_node_size=5 | glmnet__smote__alpha=1,0.32,RF + SMOTE,67.16,56.82,68.24,15.62,56.82,24.51,62.53,72.58,22.33,85.71,13.64,93.18,15.19,-20.05,39.8,-26.78,3.46,2,87.21,17.02,95.02,21.05
Ecstasy,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1,0.49,RF Padrão,76.33,78.61,75,64.76,78.61,71.02,76.81,82.35,67.13,74.63,68.21,78.38,66.48,1.49,10.87,-4.51,2.91,3,74.84,67.74,79.51,68.11
Heroin,glmnet__adasyn__alpha=1,0.56,RF + SMOTE,72.49,70.73,72.66,19.86,70.73,31.02,71.7,78.71,23.72,85.07,24.39,90.89,22.22,-15.14,45.73,-22.78,0.07,2,87.63,25,95.44,30.95
Ketamine,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1 | c50__smote__trials=20,0.39,RF + SMOTE,69.08,76.39,67.76,30.05,76.39,43.14,72.07,78.45,33.85,80.81,20.83,91.69,25,-11.69,46.16,-24.39,6.52,2,80.77,30.23,92.15,36.62
Legalh,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5,0.47,RF Padrão,80.81,82.78,79.58,71.63,82.78,76.8,81.18,88.09,81.21,82.3,76.67,85.81,76.88,-0.43,10.29,-7.56,1.11,2,81.24,72.49,87.14,75.69
LSD,ranger__none__num_trees=500_mtry=3_min_node_size=5,0.36,RF + SMOTE,78.04,85.95,75.29,54.74,85.95,66.88,80.62,84.03,56.04,79.74,70.25,83.05,64.15,-3.16,16.61,-10.81,-1.47,1,81.2,69.34,86.1,68.35
Meth,Ensemble: ranger__smote__num_trees=500_mtry=3_min_node_size=5 | glmnet__smote__alpha=1,0.44,RF + SMOTE,74.84,70.54,76.19,48.17,70.54,57.25,73.36,81.9,54.81,78.25,46.43,88.24,50.49,-2.3,24.91,-9.84,10.48,2,77.14,45.63,86.03,46.77
Mushrooms,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=0.5,0.48,RF Padrão,78.04,79.62,77.24,63.78,79.62,70.82,78.43,82.3,64.11,78.89,70.7,83.01,69.16,2.4,15.29,-4.91,4.95,3,75.64,64.33,82.15,65.87
Nicotine,Ensemble: ranger__none__num_trees=500_mtry=3_min_node_size=5 | glmnet__weights__alpha=1,0.56,RF Padrão,71.22,68.54,77.03,86.61,68.54,76.52,72.78,78.16,87.73,72.49,84.42,46.62,80.77,-0.21,-16.81,33.8,-3.48,1,71.43,85.35,43.23,80
VSA,glmnet__none__alpha=0,0.16,RF + SMOTE,73.77,73.21,73.85,27.52,73.21,40,73.53,81.27,31.3,83.16,32.14,90.07,31.3,-11.7,46.42,-19.6,9.39,2,85.47,26.79,93.45,30.61
