threshold,accuracy_pct,sensitivity_pct,specificity_pct,precision_pct,recall_pct,f1_pct,balanced_accuracy_pct,roc_auc_pct,pr_auc_pct,true_positive,true_negative,false_positive,false_negative,selection_floor_pct,drug,baseline_strategy
0.5,97.23,99.78,0,97.44,99.78,98.59,49.89,67.19,98.49,456,0,12,1,0,Alcohol,none
0.5,71.64,53.46,80.97,59.03,53.46,56.11,67.21,77.81,57.78,85,251,59,74,53.46,Amphet,none
0.5,81.88,30.49,92.76,47.17,30.49,37.04,61.63,72.98,37.5,25,359,28,57,30.49,Amyl,smote
0.5,69.51,50.82,81.47,63.7,50.82,56.53,66.14,76.28,66.94,93,233,53,90,50.82,Benzos,none
0.5,97.44,100,0,97.44,100,98.7,50,52.45,97.69,457,0,12,0,0,Caff,none
0.5,80.17,85.58,69.43,84.76,85.58,85.17,77.5,87.8,93.38,267,109,48,45,69.43,Cannabis,none
0.5,98.08,100,0,98.08,100,99.03,50,72.93,99.02,460,0,9,0,0,Choc,none
0.5,70.36,46.88,82.52,58.14,46.88,51.9,64.7,75.56,58.41,75,255,54,85,46.88,Coke,none
0.5,85.71,13.64,93.18,17.14,13.64,15.19,53.41,71.52,21.12,6,396,29,38,13.64,Crack,smote
0.5,74.63,68.21,78.38,64.84,68.21,66.48,73.29,80.48,64.56,118,232,64,55,68.21,Ecstasy,none
0.5,85.07,24.39,90.89,20.41,24.39,22.22,57.64,77.22,20.4,10,389,39,31,24.39,Heroin,smote
0.5,80.81,20.83,91.69,31.25,20.83,25,56.26,75.63,33.48,15,364,33,57,20.83,Ketamine,smote
0.5,82.3,76.67,85.81,77.09,76.67,76.88,81.24,87.53,80.51,138,248,41,42,76.67,Legalh,none
0.5,79.74,70.25,83.05,59.03,70.25,64.15,76.65,83.83,58.79,85,289,59,36,70.25,LSD,none
0.5,78.25,46.43,88.24,55.32,46.43,50.49,67.33,80.22,52.87,52,315,42,60,46.43,Meth,smote
0.5,78.89,70.7,83.01,67.68,70.7,69.16,76.86,82.29,63.81,111,259,53,46,70.7,Mushrooms,none
0.5,72.49,84.42,46.62,77.43,84.42,80.77,65.52,76.55,86.93,271,69,79,50,46.62,Nicotine,none
0.5,83.16,32.14,90.07,30.51,32.14,31.3,61.11,79.01,27.58,18,372,41,38,32.14,VSA,smote
