"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",82.54,93.75,70.97,76.92,93.75,84.51,90.62,74.21,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",87.3,90.62,83.87,85.29,90.62,87.88,94.86,72.97,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",9.52,6.25,12.9,6.9,6.25,6.56,95.06,25.43,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",88.89,90.62,87.1,87.88,90.62,89.23,92.54,76.1,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",84.13,90.62,77.42,80.56,90.62,85.29,89.26,78.88,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",80.95,81.25,80.65,81.25,81.25,81.25,88.91,70.66,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,67.93,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",52.38,6.25,100,100,6.25,11.76,90.32,55.11,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",66.67,81.25,51.61,63.41,81.25,71.23,76.36,67.14,"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",85.71,93.75,77.42,81.08,93.75,86.96,85.89,75,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",76.19,84.38,67.74,72.97,84.38,78.26,86.29,75.33,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",20.63,6.25,35.48,9.09,6.25,7.41,87.55,24.63,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",82.54,96.88,67.74,75.61,96.88,84.93,87.15,74.58,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",84.13,96.88,70.97,77.5,96.88,86.11,85.99,75.77,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",84.13,90.62,77.42,80.56,90.62,85.29,89.31,74.19,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",80.95,93.75,67.74,75,93.75,83.33,80.75,69.49,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",80.95,96.88,64.52,73.81,96.88,83.78,87.6,75.74,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",79.37,100,58.06,71.11,100,83.12,91.33,69.13,"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",85.71,96.88,74.19,79.49,96.88,87.32,86.29,73.81,"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",84.13,90.62,77.42,80.56,90.62,85.29,93.9,70.67,"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",20.63,3.12,38.71,5,3.12,3.85,91.18,25.45,"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",85.71,93.75,77.42,81.08,93.75,86.96,87.95,74.2,"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",82.54,96.88,67.74,75.61,96.88,84.93,86.69,74.2,"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
