"Feature1","Feature2","Correlacao"
"TBFR","LM",-0.993190466764602
"TBW","ICW",0.961714629376213
"ICW","MM",0.94802300657396
"TBW","MM",0.938838249404501
"BMI","Obesity",0.931771417058833
"TBW","ECW",0.926103995510278
"BMI","TFC",0.909420568085386
"TFC","VFA",0.877939892221846
"Weight","VFA",0.876656341320514
"TC","LDL",0.872685122560765
"TBFR","TFC",0.867668784426896
"LM","TFC",-0.864149067876166
"TBW","BM",0.860684200734594
"BMI","VFA",0.856930256645466
"Obesity","TFC",0.855211103186546
"ICW","VMA",0.854165721052836
"ECW","MM",0.852253960689151
