"Feature","Grupo","Tipo","Teste","Estatistica","Pvalor","Efeito"
"CRP","Laboratorio","Numerica","Wilcoxon",2275.5,2.74062085388793e-17,-1.63
"VitaminD","Laboratorio","Numerica","Wilcoxon",8778,2.37163025857325e-07,8.5
"AST","Laboratorio","Numerica","Wilcoxon",8259.5,4.05165663834871e-05,4
"TBFR","Bioimpedancia","Numerica","Wilcoxon",4600,0.000569509345932115,-7.2
"LM","Bioimpedancia","Numerica","Wilcoxon",7915,0.000704161002048993,6.66
"BM","Bioimpedancia","Numerica","Wilcoxon",7897,0.000785994131858757,0.4
"TFC","Bioimpedancia","Numerica","Wilcoxon",4912.5,0.00508906258577033,-4.9
"HDL","Laboratorio","Numerica","Wilcoxon",4920,0.00531999067879126,-2
"ECW","Bioimpedancia","Numerica","Wilcoxon",7597,0.00628110895651925,1.2
"VFA","Bioimpedancia","Numerica","Wilcoxon",4947.5,0.00634877802119274,-2
"HFA","HFA","Categorica","Fisher",NA,0.00865176515173819,0.113928087379415
"HGB","Laboratorio","Numerica","Wilcoxon",7390.5,0.0210520424438071,0.6
"Gender","Historia","Categorica","Qui-quadrado",5.14602691390403,0.0232996257541201,0.151478912540859
"Hyperlipidemia","Historia","Categorica","Fisher",NA,0.0285252122580664,0.045045045045045
"ECF_TBW","Bioimpedancia","Numerica","Wilcoxon",7142.5,0.0715734284285638,0
"Creatinine","Laboratorio","Numerica","Wilcoxon",7144,0.0720722559733167,0.07
"BMI","Antropometria","Numerica","Wilcoxon",5418,0.0785718946086404,-1.4
"Height","Antropometria","Numerica","Wilcoxon",7097.5,0.0884725461877868,5
"Age","Historia","Numerica","Wilcoxon",5446.5,0.0889325553976085,-4
"TBW","Bioimpedancia","Numerica","Wilcoxon",7067.5,0.100922592256747,2.7
"MM","Bioimpedancia","Numerica","Wilcoxon",6984.5,0.141767018639577,4.3
"ALP","Laboratorio","Numerica","Wilcoxon",5650.5,0.200640107849503,-3
"VMA","Bioimpedancia","Numerica","Wilcoxon",6890.5,0.202150896036462,1.03513514
"Protein","Bioimpedancia","Numerica","Wilcoxon",6819,0.259341084088775,0.42
"LDL","Laboratorio","Numerica","Wilcoxon",6777,0.297681762511552,5
"Glucose","Laboratorio","Numerica","Wilcoxon",6772.5,0.301781534411487,1
"ICW","Bioimpedancia","Numerica","Wilcoxon",6758,0.316203597812421,1.6
"ALT","Laboratorio","Numerica","Wilcoxon",6702,0.374856529368471,2
"Weight","Antropometria","Numerica","Wilcoxon",5882,0.422468828286442,-2.8
"DM","Historia","Categorica","Qui-quadrado",0.642255976900762,0.422895054017455,0.0384278083393128
"Hypothyroidism","Historia","Categorica","Fisher",NA,0.445802291156555,0.0262297695926015
"Triglyceride","Laboratorio","Numerica","Wilcoxon",6621.5,0.471084754103176,4
"GFR","Laboratorio","Numerica","Wilcoxon",6601,0.49750466228231,2.64999999999999
"VFR","Bioimpedancia","Numerica","Wilcoxon",5957,0.515859374735523,0
"TC","Laboratorio","Numerica","Wilcoxon",6367,0.844682053631859,2
"Obesity","Bioimpedancia","Numerica","Wilcoxon",6219,0.914608683121193,-1.3
"Comorbidity","Historia","Categorica","Fisher",NA,0.999999999999982,0.00884955752212389
"CAD","Historia","Categorica","Fisher",NA,1,0.00853065454835366
