"Painel_Base","Acuracia","Sensibilidade","Especificidade","Precisao","F1","AUC","Acc_CV","N_Features","Custo_Total","N_Features_8020","Features_8020","Origens_8020","Custo_Total_8020","N_Features_7030","Features_7030","Origens_7030","Custo_Total_7030","Elegivel","Recomendado"
"pruned_top_12",73.43,80.42,66.25,68.84,73.97,87.09,68.97,12,10,12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,12,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein, Comorbidity","Historia + Laboratorio + Bioimpedancia + HFA",10,TRUE,FALSE
"pruned_top_09",72.74,77.9,67.47,68.94,71.71,87.08,68.96,9,9.5,9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
"pruned_top_11",74.41,81.6,67.05,70.1,75.22,87.04,68.97,11,10,11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,TRUE,TRUE
"pruned_top_13",73.3,79.69,66.75,69.27,73.87,86.98,68.54,13,10.5,13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,13,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein, Comorbidity, VFR","Historia + Laboratorio + Bioimpedancia + HFA",10,TRUE,FALSE
"raw_top_12",72.56,74.94,70.13,71.08,71.69,86.88,68.42,12,9.5,12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
"raw_top_10",71.16,74.13,68.1,69.98,70.03,86.78,68.14,10,9,10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,FALSE,FALSE
"raw_top_11",72.39,74.77,69.95,70.91,71.2,86.74,68.14,11,9.5,11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST","Laboratorio + Bioimpedancia + HFA",9,11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
"pruned_top_10",71.74,76.1,67.3,68.4,70.61,86.61,68.23,10,9.5,10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,10,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender","Historia + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
"pruned_top_14",71.63,74.42,68.78,70.65,69.42,86.6,68.42,14,10.5,14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,14,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein, Comorbidity, VFR, Age","Historia + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
"raw_top_13",72.5,75,69.96,71.34,71.63,86.55,68.38,13,9.5,13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein, TFC","Laboratorio + Bioimpedancia + HFA",9,13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,FALSE,FALSE
