"Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes","Acuracia","Sensibilidade","Especificidade","Precisao","F1","AUC","Acc_CV"
"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",70.53,75,65.96,68.14,69.95,83.97,69.2
"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",70.88,79.86,61.7,65.83,72.01,83.58,69.85
"70/30","pruned_top_12",12,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein, Comorbidity","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",69.61,78.91,60.11,64.38,70.73,83.27,69.37
"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",71.58,81.48,61.47,65.56,72.48,83.22,71.04
"70/30","pruned_top_13",13,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein, Comorbidity, VFR","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",69.34,79.17,59.31,64.09,70.67,83.16,68.98
"70/30","pruned_top_10",10,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",69.94,78.93,60.76,64.64,70.91,83.07,70.25
"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",71.23,75.23,67.14,68.46,70.45,82.96,69.59
"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",70.88,74.54,67.14,68.16,69.91,82.95,69.54
"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",71.11,75.69,66.43,68.13,70.55,82.75,69.54
"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",72.05,80.55,63.36,66.98,72.97,82.64,70.78
