Cenario,Modelo,Especificidade,Sensitividade,Falso_Positivo
Completa,Regressao Logistica,0,1,1
Completa,Regressao Logistica,0,0.9919354838709677,1
Completa,Regressao Logistica,0.02,0.9919354838709677,0.98
Completa,Regressao Logistica,0.02,0.9838709677419355,0.98
Completa,Regressao Logistica,0.02,0.9758064516129032,0.98
Completa,Regressao Logistica,0.04,0.9758064516129032,0.96
Completa,Regressao Logistica,0.06,0.9758064516129032,0.94
Completa,Regressao Logistica,0.06,0.967741935483871,0.94
Completa,Regressao Logistica,0.08,0.967741935483871,0.92
Completa,Regressao Logistica,0.1,0.967741935483871,0.9
Completa,Regressao Logistica,0.12,0.967741935483871,0.88
Completa,Regressao Logistica,0.12,0.9596774193548387,0.88
Completa,Regressao Logistica,0.12,0.9516129032258065,0.88
Completa,Regressao Logistica,0.14,0.9516129032258065,0.86
Completa,Regressao Logistica,0.16,0.9516129032258065,0.84
Completa,Regressao Logistica,0.18,0.9516129032258065,0.8200000000000001
Completa,Regressao Logistica,0.18,0.9435483870967742,0.8200000000000001
Completa,Regressao Logistica,0.2,0.9435483870967742,0.8
Completa,Regressao Logistica,0.2,0.9354838709677419,0.8
Completa,Regressao Logistica,0.22,0.9354838709677419,0.78
Completa,Regressao Logistica,0.24,0.9354838709677419,0.76
Completa,Regressao Logistica,0.26,0.9354838709677419,0.74
Completa,Regressao Logistica,0.28,0.9354838709677419,0.72
Completa,Regressao Logistica,0.28,0.9274193548387096,0.72
Completa,Regressao Logistica,0.28,0.9193548387096774,0.72
Completa,Regressao Logistica,0.28,0.9112903225806451,0.72
Completa,Regressao Logistica,0.3,0.9112903225806451,0.7
Completa,Regressao Logistica,0.3,0.9032258064516129,0.7
Completa,Regressao Logistica,0.32,0.9032258064516129,0.6799999999999999
Completa,Regressao Logistica,0.32,0.8951612903225806,0.6799999999999999
Completa,Regressao Logistica,0.34,0.8951612903225806,0.6599999999999999
Completa,Regressao Logistica,0.36,0.8951612903225806,0.64
Completa,Regressao Logistica,0.38,0.8951612903225806,0.62
Completa,Regressao Logistica,0.38,0.8870967741935484,0.62
Completa,Regressao Logistica,0.38,0.8790322580645161,0.62
Completa,Regressao Logistica,0.38,0.8709677419354839,0.62
Completa,Regressao Logistica,0.38,0.8629032258064516,0.62
Completa,Regressao Logistica,0.4,0.8629032258064516,0.6
Completa,Regressao Logistica,0.42,0.8629032258064516,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8548387096774194,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8467741935483871,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8387096774193549,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8306451612903226,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8225806451612904,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8145161290322581,0.5800000000000001
Completa,Regressao Logistica,0.42,0.8064516129032258,0.5800000000000001
Completa,Regressao Logistica,0.42,0.7983870967741935,0.5800000000000001
Completa,Regressao Logistica,0.42,0.7903225806451613,0.5800000000000001
Completa,Regressao Logistica,0.44,0.7903225806451613,0.56
Completa,Regressao Logistica,0.46,0.7903225806451613,0.54
Completa,Regressao Logistica,0.48,0.7903225806451613,0.52
Completa,Regressao Logistica,0.48,0.782258064516129,0.52
Completa,Regressao Logistica,0.5,0.782258064516129,0.5
Completa,Regressao Logistica,0.52,0.782258064516129,0.48
Completa,Regressao Logistica,0.54,0.782258064516129,0.45999999999999996
Completa,Regressao Logistica,0.56,0.782258064516129,0.43999999999999995
Completa,Regressao Logistica,0.58,0.782258064516129,0.42000000000000004
Completa,Regressao Logistica,0.6,0.782258064516129,0.4
