Variavel,Overall,Cenario,Modelo
Age,100,Homens,Regressao Logistica
Alamine_Aminotransferase,86.79729248896172,Homens,Regressao Logistica
Alkaline_Phosphatase,49.76259114770169,Homens,Regressao Logistica
Direct_Bilirubin,44.86545007502743,Homens,Regressao Logistica
Total_Bilirubin,29.77024527459416,Homens,Regressao Logistica
Total_Proteins,28.501392228702045,Homens,Regressao Logistica
Albumin,24.364554373652716,Homens,Regressao Logistica
Albumin_and_Globulin_Ratio,4.222855303412412,Homens,Regressao Logistica
Aspartate_Aminotransferase,0,Homens,Regressao Logistica
Age,100,Homens,Random Forest
Direct_Bilirubin,84.26601642692142,Homens,Random Forest
Total_Bilirubin,83.50458090239317,Homens,Random Forest
Alamine_Aminotransferase,69.88202582313716,Homens,Random Forest
Alkaline_Phosphatase,60.88997018435559,Homens,Random Forest
Aspartate_Aminotransferase,44.31107134244607,Homens,Random Forest
Albumin,29.57810253516075,Homens,Random Forest
Albumin_and_Globulin_Ratio,21.954657899539267,Homens,Random Forest
Total_Proteins,0,Homens,Random Forest
Alamine_Aminotransferase,100,Homens,SVM Radial
Aspartate_Aminotransferase,98.89870836165878,Homens,SVM Radial
Total_Bilirubin,92.20938137321549,Homens,SVM Radial
Direct_Bilirubin,90.83616587355542,Homens,SVM Radial
Alkaline_Phosphatase,83.263086335826,Homens,SVM Radial
Albumin_and_Globulin_Ratio,60.85656016315434,Homens,SVM Radial
Albumin,47.87219578518015,Homens,SVM Radial
Age,47.00203942895991,Homens,SVM Radial
Total_Proteins,0,Homens,SVM Radial
Alamine_Aminotransferase,100,Homens,Naive Bayes
Aspartate_Aminotransferase,98.89870836165878,Homens,Naive Bayes
Total_Bilirubin,92.20938137321549,Homens,Naive Bayes
Direct_Bilirubin,90.83616587355542,Homens,Naive Bayes
Alkaline_Phosphatase,83.263086335826,Homens,Naive Bayes
Albumin_and_Globulin_Ratio,60.85656016315434,Homens,Naive Bayes
Albumin,47.87219578518015,Homens,Naive Bayes
Age,47.00203942895991,Homens,Naive Bayes
Total_Proteins,0,Homens,Naive Bayes
