Variavel,Overall,Cenario,Modelo
Total_Proteins,100,Mulheres,Regressao Logistica
Albumin,90.99074489275642,Mulheres,Regressao Logistica
Albumin_and_Globulin_Ratio,76.63083934154206,Mulheres,Regressao Logistica
Alkaline_Phosphatase,53.33511707614693,Mulheres,Regressao Logistica
Aspartate_Aminotransferase,39.2334561930573,Mulheres,Regressao Logistica
Direct_Bilirubin,20.770671699102657,Mulheres,Regressao Logistica
Total_Bilirubin,12.545797419233793,Mulheres,Regressao Logistica
Age,5.26281754314366,Mulheres,Regressao Logistica
Alamine_Aminotransferase,0,Mulheres,Regressao Logistica
Alkaline_Phosphatase,100,Mulheres,Random Forest
Aspartate_Aminotransferase,79.13936234823751,Mulheres,Random Forest
Alamine_Aminotransferase,76.49156762717129,Mulheres,Random Forest
Total_Bilirubin,68.6005355426802,Mulheres,Random Forest
Total_Proteins,34.03558548394685,Mulheres,Random Forest
Albumin,31.76413637110862,Mulheres,Random Forest
Direct_Bilirubin,20.569181035342982,Mulheres,Random Forest
Age,10.872846434415049,Mulheres,Random Forest
Albumin_and_Globulin_Ratio,0,Mulheres,Random Forest
Alkaline_Phosphatase,100,Mulheres,SVM Radial
Total_Bilirubin,91.93324061196105,Mulheres,SVM Radial
Direct_Bilirubin,90.54242002781635,Mulheres,SVM Radial
Aspartate_Aminotransferase,83.31015299026424,Mulheres,SVM Radial
Alamine_Aminotransferase,75.38247566063976,Mulheres,SVM Radial
Albumin_and_Globulin_Ratio,54.24200278164118,Mulheres,SVM Radial
Albumin,26.425591098748235,Mulheres,SVM Radial
Age,3.1988873435326304,Mulheres,SVM Radial
Total_Proteins,0,Mulheres,SVM Radial
Alkaline_Phosphatase,100,Mulheres,Naive Bayes
Total_Bilirubin,91.93324061196105,Mulheres,Naive Bayes
Direct_Bilirubin,90.54242002781635,Mulheres,Naive Bayes
Aspartate_Aminotransferase,83.31015299026424,Mulheres,Naive Bayes
Alamine_Aminotransferase,75.38247566063976,Mulheres,Naive Bayes
Albumin_and_Globulin_Ratio,54.24200278164118,Mulheres,Naive Bayes
Albumin,26.425591098748235,Mulheres,Naive Bayes
Age,3.1988873435326304,Mulheres,Naive Bayes
Total_Proteins,0,Mulheres,Naive Bayes
