Variavel,Overall,Cenario,Modelo
Alamine_Aminotransferase,100,Completa,Regressao Logistica
Age,84.8261028876006,Completa,Regressao Logistica
Total_Proteins,83.71041985019467,Completa,Regressao Logistica
Albumin,77.43640518241975,Completa,Regressao Logistica
Albumin_and_Globulin_Ratio,51.61537865765939,Completa,Regressao Logistica
Aspartate_Aminotransferase,34.851695078874144,Completa,Regressao Logistica
Direct_Bilirubin,34.323989843834084,Completa,Regressao Logistica
Total_Bilirubin,16.925066050884727,Completa,Regressao Logistica
Alkaline_Phosphatase,11.606382114114096,Completa,Regressao Logistica
GenderMale,0,Completa,Regressao Logistica
Total_Bilirubin,100,Completa,Random Forest
Direct_Bilirubin,85.66746066587014,Completa,Random Forest
Alamine_Aminotransferase,79.64061229010268,Completa,Random Forest
Aspartate_Aminotransferase,69.24834593016273,Completa,Random Forest
Alkaline_Phosphatase,62.57918385624455,Completa,Random Forest
Age,53.795263543351766,Completa,Random Forest
Albumin_and_Globulin_Ratio,52.99243360511805,Completa,Random Forest
Albumin,33.07564525409905,Completa,Random Forest
GenderMale,1.1617747336232611,Completa,Random Forest
Total_Proteins,0,Completa,Random Forest
Age,100,Homens,Regressao Logistica
Alamine_Aminotransferase,86.79729248896172,Homens,Regressao Logistica
Alkaline_Phosphatase,49.76259114770169,Homens,Regressao Logistica
Direct_Bilirubin,44.86545007502743,Homens,Regressao Logistica
Total_Bilirubin,29.77024527459416,Homens,Regressao Logistica
Total_Proteins,28.501392228702045,Homens,Regressao Logistica
Albumin,24.364554373652716,Homens,Regressao Logistica
Albumin_and_Globulin_Ratio,4.222855303412412,Homens,Regressao Logistica
Aspartate_Aminotransferase,0,Homens,Regressao Logistica
Age,100,Homens,Random Forest
Direct_Bilirubin,84.26601642692142,Homens,Random Forest
Total_Bilirubin,83.50458090239317,Homens,Random Forest
Alamine_Aminotransferase,69.88202582313716,Homens,Random Forest
Alkaline_Phosphatase,60.88997018435559,Homens,Random Forest
Aspartate_Aminotransferase,44.31107134244607,Homens,Random Forest
Albumin,29.57810253516075,Homens,Random Forest
Albumin_and_Globulin_Ratio,21.954657899539267,Homens,Random Forest
Total_Proteins,0,Homens,Random Forest
Alamine_Aminotransferase,100,Homens,SVM Radial
Aspartate_Aminotransferase,98.89870836165878,Homens,SVM Radial
Total_Bilirubin,92.20938137321549,Homens,SVM Radial
Direct_Bilirubin,90.83616587355542,Homens,SVM Radial
Alkaline_Phosphatase,83.263086335826,Homens,SVM Radial
Albumin_and_Globulin_Ratio,60.85656016315434,Homens,SVM Radial
Albumin,47.87219578518015,Homens,SVM Radial
Age,47.00203942895991,Homens,SVM Radial
Total_Proteins,0,Homens,SVM Radial
Alamine_Aminotransferase,100,Homens,Naive Bayes
Aspartate_Aminotransferase,98.89870836165878,Homens,Naive Bayes
Total_Bilirubin,92.20938137321549,Homens,Naive Bayes
Direct_Bilirubin,90.83616587355542,Homens,Naive Bayes
Alkaline_Phosphatase,83.263086335826,Homens,Naive Bayes
Albumin_and_Globulin_Ratio,60.85656016315434,Homens,Naive Bayes
Albumin,47.87219578518015,Homens,Naive Bayes
Age,47.00203942895991,Homens,Naive Bayes
Total_Proteins,0,Homens,Naive Bayes
Total_Proteins,100,Mulheres,Regressao Logistica
Albumin,90.99074489275642,Mulheres,Regressao Logistica
Albumin_and_Globulin_Ratio,76.63083934154206,Mulheres,Regressao Logistica
Alkaline_Phosphatase,53.33511707614693,Mulheres,Regressao Logistica
Aspartate_Aminotransferase,39.2334561930573,Mulheres,Regressao Logistica
Direct_Bilirubin,20.770671699102657,Mulheres,Regressao Logistica
Total_Bilirubin,12.545797419233793,Mulheres,Regressao Logistica
Age,5.26281754314366,Mulheres,Regressao Logistica
Alamine_Aminotransferase,0,Mulheres,Regressao Logistica
Alkaline_Phosphatase,100,Mulheres,Random Forest
Aspartate_Aminotransferase,79.13936234823751,Mulheres,Random Forest
Alamine_Aminotransferase,76.49156762717129,Mulheres,Random Forest
Total_Bilirubin,68.6005355426802,Mulheres,Random Forest
Total_Proteins,34.03558548394685,Mulheres,Random Forest
Albumin,31.76413637110862,Mulheres,Random Forest
Direct_Bilirubin,20.569181035342982,Mulheres,Random Forest
Age,10.872846434415049,Mulheres,Random Forest
Albumin_and_Globulin_Ratio,0,Mulheres,Random Forest
Alkaline_Phosphatase,100,Mulheres,SVM Radial
Total_Bilirubin,91.93324061196105,Mulheres,SVM Radial
Direct_Bilirubin,90.54242002781635,Mulheres,SVM Radial
Aspartate_Aminotransferase,83.31015299026424,Mulheres,SVM Radial
Alamine_Aminotransferase,75.38247566063976,Mulheres,SVM Radial
Albumin_and_Globulin_Ratio,54.24200278164118,Mulheres,SVM Radial
Albumin,26.425591098748235,Mulheres,SVM Radial
Age,3.1988873435326304,Mulheres,SVM Radial
Total_Proteins,0,Mulheres,SVM Radial
Alkaline_Phosphatase,100,Mulheres,Naive Bayes
Total_Bilirubin,91.93324061196105,Mulheres,Naive Bayes
Direct_Bilirubin,90.54242002781635,Mulheres,Naive Bayes
Aspartate_Aminotransferase,83.31015299026424,Mulheres,Naive Bayes
Alamine_Aminotransferase,75.38247566063976,Mulheres,Naive Bayes
Albumin_and_Globulin_Ratio,54.24200278164118,Mulheres,Naive Bayes
Albumin,26.425591098748235,Mulheres,Naive Bayes
Age,3.1988873435326304,Mulheres,Naive Bayes
Total_Proteins,0,Mulheres,Naive Bayes
