Variavel_1,Variavel_2,Correlacao
Age,Age,1
Total_Bilirubin,Age,0.011762651414898809
Direct_Bilirubin,Age,0.0075291380827556
Alkaline_Phosphatase,Age,0.08042461233880223
Alamine_Aminotransferase,Age,-0.0868827585987167
Aspartate_Aminotransferase,Age,-0.019909857441246844
Total_Proteins,Age,-0.18746126145981734
Albumin,Age,-0.2659243613007014
Albumin_and_Globulin_Ratio,Age,-0.21640834634068573
Age,Total_Bilirubin,0.011762651414898809
Total_Bilirubin,Total_Bilirubin,1
Direct_Bilirubin,Total_Bilirubin,0.8746179301164134
Alkaline_Phosphatase,Total_Bilirubin,0.20666879518008946
Alamine_Aminotransferase,Total_Bilirubin,0.21406474018363245
Aspartate_Aminotransferase,Total_Bilirubin,0.23783132253123274
Total_Proteins,Total_Bilirubin,-0.008099343401034806
Albumin,Total_Bilirubin,-0.22225040602576654
Albumin_and_Globulin_Ratio,Total_Bilirubin,-0.20626718567543217
Age,Direct_Bilirubin,0.0075291380827556
Total_Bilirubin,Direct_Bilirubin,0.8746179301164134
Direct_Bilirubin,Direct_Bilirubin,1
Alkaline_Phosphatase,Direct_Bilirubin,0.2349387058188172
Alamine_Aminotransferase,Direct_Bilirubin,0.23389405445942532
Aspartate_Aminotransferase,Direct_Bilirubin,0.25754398109385024
Total_Proteins,Direct_Bilirubin,-1.3874142426093693e-4
Albumin,Direct_Bilirubin,-0.22853057292087248
Albumin_and_Globulin_Ratio,Direct_Bilirubin,-0.20012468524933935
Age,Alkaline_Phosphatase,0.08042461233880223
Total_Bilirubin,Alkaline_Phosphatase,0.20666879518008946
Direct_Bilirubin,Alkaline_Phosphatase,0.2349387058188172
Alkaline_Phosphatase,Alkaline_Phosphatase,1
Alamine_Aminotransferase,Alkaline_Phosphatase,0.1256799508676732
Aspartate_Aminotransferase,Alkaline_Phosphatase,0.1671958978281868
Total_Proteins,Alkaline_Phosphatase,-0.028514355620375863
Albumin,Alkaline_Phosphatase,-0.16545286617707636
Albumin_and_Globulin_Ratio,Alkaline_Phosphatase,-0.2341664994155005
Age,Alamine_Aminotransferase,-0.0868827585987167
Total_Bilirubin,Alamine_Aminotransferase,0.21406474018363245
Direct_Bilirubin,Alamine_Aminotransferase,0.23389405445942532
Alkaline_Phosphatase,Alamine_Aminotransferase,0.1256799508676732
Alamine_Aminotransferase,Alamine_Aminotransferase,1
Aspartate_Aminotransferase,Alamine_Aminotransferase,0.7919656848536132
Total_Proteins,Alamine_Aminotransferase,-0.04251819025159556
Albumin,Alamine_Aminotransferase,-0.029741673237366786
Albumin_and_Globulin_Ratio,Alamine_Aminotransferase,-0.0023749904005671975
Age,Aspartate_Aminotransferase,-0.019909857441246844
Total_Bilirubin,Aspartate_Aminotransferase,0.23783132253123274
Direct_Bilirubin,Aspartate_Aminotransferase,0.25754398109385024
Alkaline_Phosphatase,Aspartate_Aminotransferase,0.1671958978281868
Alamine_Aminotransferase,Aspartate_Aminotransferase,0.7919656848536132
Aspartate_Aminotransferase,Aspartate_Aminotransferase,1
Total_Proteins,Aspartate_Aminotransferase,-0.02564536505388736
Albumin,Aspartate_Aminotransferase,-0.08529030169921387
Albumin_and_Globulin_Ratio,Aspartate_Aminotransferase,-0.07003982757091973
Age,Total_Proteins,-0.18746126145981734
Total_Bilirubin,Total_Proteins,-0.008099343401034806
Direct_Bilirubin,Total_Proteins,-1.3874142426093693e-4
Alkaline_Phosphatase,Total_Proteins,-0.028514355620375863
Alamine_Aminotransferase,Total_Proteins,-0.04251819025159556
Aspartate_Aminotransferase,Total_Proteins,-0.02564536505388736
Total_Proteins,Total_Proteins,1
Albumin,Total_Proteins,0.7840533353871918
Albumin_and_Globulin_Ratio,Total_Proteins,0.23488718110639958
Age,Albumin,-0.2659243613007014
Total_Bilirubin,Albumin,-0.22225040602576654
Direct_Bilirubin,Albumin,-0.22853057292087248
Alkaline_Phosphatase,Albumin,-0.16545286617707636
Alamine_Aminotransferase,Albumin,-0.029741673237366786
Aspartate_Aminotransferase,Albumin,-0.08529030169921387
Total_Proteins,Albumin,0.7840533353871918
Albumin,Albumin,1
Albumin_and_Globulin_Ratio,Albumin,0.6896323418966305
Age,Albumin_and_Globulin_Ratio,-0.21640834634068573
Total_Bilirubin,Albumin_and_Globulin_Ratio,-0.20626718567543217
Direct_Bilirubin,Albumin_and_Globulin_Ratio,-0.20012468524933935
Alkaline_Phosphatase,Albumin_and_Globulin_Ratio,-0.2341664994155005
Alamine_Aminotransferase,Albumin_and_Globulin_Ratio,-0.0023749904005671975
Aspartate_Aminotransferase,Albumin_and_Globulin_Ratio,-0.07003982757091973
Total_Proteins,Albumin_and_Globulin_Ratio,0.23488718110639958
Albumin,Albumin_and_Globulin_Ratio,0.6896323418966305
Albumin_and_Globulin_Ratio,Albumin_and_Globulin_Ratio,1
